Party,Name,Handle,AvatarURL
Democrat,US Rep. Darren Soto,RepDarrenSoto,https://pbs.twimg.com/profile_images/824454906446745601/DtndIYe0_bigger.jpg
Democrat,Senator Jacky Rosen,SenJackyRosen,https://pbs.twimg.com/profile_images/1085182795142574080/E0sTwPIJ_bigger.jpg
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,https://pbs.twimg.com/profile_images/1096447512414691328/uedjY7vz_bigger.png
Democrat,Adriano Espaillat,RepEspaillat,https://pbs.twimg.com/profile_images/1177300866929504256/OX6kaO0z_bigger.jpg
Democrat,US Rep. Darren Soto,RepDarrenSoto,https://pbs.twimg.com/profile_images/824454906446745601/DtndIYe0_normal.jpg
Democrat,Senator Jacky Rosen,SenJackyRosen,https://pbs.twimg.com/profile_images/1085182795142574080/E0sTwPIJ_normal.jpg
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,https://pbs.twimg.com/profile_images/1096447512414691328/uedjY7vz_normal.png
Democrat,Adriano Espaillat,RepEspaillat,https://pbs.twimg.com/profile_images/1177300866929504256/OX6kaO0z_normal.jpg
Democrat,Rep. Blunt Rochester,RepLBR,https://pbs.twimg.com/profile_images/1096414270890364931/rZ2FxnAr_normal.jpg
Democrat,Nanette D. Barragán,RepBarragan,https://pbs.twimg.com/profile_images/978337845428420610/dYCHO_Ml_normal.jpg
Democrat,Tom Suozzi,RepTomSuozzi,https://pbs.twimg.com/profile_images/841322504752943107/hbNrycrY_normal.jpg
Democrat,Rep. Ro Khanna,RepRoKhanna,https://pbs.twimg.com/profile_images/1088808215448567808/SPhDCzvR_normal.jpg
Democrat,Rep. Ruben J. Kihuen,RepKihuen,https://pbs.twimg.com/profile_images/1080695323624800258/9nsf3nlq_normal.jpg
Democrat,Rep. Donald McEachin,RepMcEachin,https://pbs.twimg.com/profile_images/1098458215489114112/5LgELEfd_normal.png
Democrat,Rep. Salud Carbajal,RepCarbajal,https://pbs.twimg.com/profile_images/1101128802963505152/AfgDKkfc_normal.png
Democrat,Rep. Charlie Crist,RepCharlieCrist,https://pbs.twimg.com/profile_images/821404691007471616/coBO0h0x_normal.jpg
Democrat,Rep. Lou Correa,RepLouCorrea,https://pbs.twimg.com/profile_images/958720189897625601/c-SpjpEc_normal.jpg
Democrat,Rep. Pramila Jayapal,RepJayapal,https://pbs.twimg.com/profile_images/978268908057751552/LdIDc0tc_normal.jpg
Democrat,Rep Josh Gottheimer,RepJoshG,https://pbs.twimg.com/profile_images/824380405482668042/TGcE_Hz0_normal.jpg
Democrat,Raja Krishnamoorthi,CongressmanRaja,https://pbs.twimg.com/profile_images/817454739910750209/-LvcQa9a_normal.jpg
Democrat,Rep. Tom O'Halleran,RepOHalleran,https://pbs.twimg.com/profile_images/1083045869312720897/CHw6zuQJ_normal.jpg
Democrat,Rep. Jamie Raskin,RepRaskin,https://pbs.twimg.com/profile_images/1192819134935027714/o0cJeFDI_normal.jpg
Democrat,Rep. Val Demings,RepValDemings,https://pbs.twimg.com/profile_images/1013838545113485312/hWQSDnZp_normal.jpg
Democrat,Rep. Jimmy Panetta,RepJimmyPanetta,https://pbs.twimg.com/profile_images/827208718618132481/Z6uQa-l__normal.jpg
Republican,Greg Murphy,RepGregMurphy,https://pbs.twimg.com/profile_images/1186400513966952449/D9981GLb_bigger.jpg
Republican,Rep. Chip Roy,RepChipRoy,https://pbs.twimg.com/profile_images/1220019471429054465/5jj6fh-N_bigger.jpg
Republican,Rep. Greg Pence,RepGregPence,https://pbs.twimg.com/profile_images/1082426958519115783/2O_04xqo_bigger.jpg
Republican,John Joyce,RepJohnJoyce,https://pbs.twimg.com/profile_images/1082422656778072064/CpGiwhEZ_bigger.jpg
Republican,Greg Murphy,RepGregMurphy,https://pbs.twimg.com/profile_images/1186400513966952449/D9981GLb_normal.jpg
Republican,Rep. Chip Roy,RepChipRoy,https://pbs.twimg.com/profile_images/1220019471429054465/5jj6fh-N_normal.jpg
Republican,Rep. Greg Pence,RepGregPence,https://pbs.twimg.com/profile_images/1082426958519115783/2O_04xqo_normal.jpg
Republican,John Joyce,RepJohnJoyce,https://pbs.twimg.com/profile_images/1082422656778072064/CpGiwhEZ_normal.jpg
Republican,Carol Miller,RepCarolMiller,https://pbs.twimg.com/profile_images/1081319065514323968/DK8CD7JB_normal.jpg
Republican,John Rose,RepJohnRose,https://pbs.twimg.com/profile_images/1081319228383350784/HYRcIXZp_normal.jpg
Republican,Congressman Michael Guest,RepMichaelGuest,https://pbs.twimg.com/profile_images/1111288039278628864/Bpkmergx_normal.png
Republican,Rep. Dan Crenshaw,RepDanCrenshaw,https://pbs.twimg.com/profile_images/1094614383232249856/BHAwJUfL_normal.jpg
Republican,Ron Wright,RepRonWright,https://pbs.twimg.com/profile_images/1081206587426045958/MkX5U9E6_normal.jpg
Republican,Congressman Dan Meuser,RepMeuser,https://pbs.twimg.com/profile_images/1081299055114895360/DvrWDK_k_normal.jpg
Republican,Congressman Kelly Armstrong,RepArmstrongND,https://pbs.twimg.com/profile_images/1080879174972264449/PE5-7Tn1_normal.jpg
Republican,Congressman Denver Riggleman,RepRiggleman,https://pbs.twimg.com/profile_images/1080504233311551490/MieXr9k1_normal.jpg
Republican,Rep. Mark Green,RepMarkGreen,https://pbs.twimg.com/profile_images/1080478006169268224/aB7vw1E2_normal.jpg
Republican,Rep. Steve Watkins,Rep_Watkins,https://pbs.twimg.com/profile_images/1137822687261339648/72oI1Vb9_normal.jpg
Republican,Congressman William Timmons,RepTimmons,https://pbs.twimg.com/profile_images/1080620434545168385/C08jfIyS_normal.jpg
Republican,Rep. Russ Fulcher,RepRussFulcher,https://pbs.twimg.com/profile_images/1084841551463882753/ul2xePnL_normal.jpg
Republican,Pete Stauber,RepPeteStauber,https://pbs.twimg.com/profile_images/1080286189700169731/ZjZ0mUop_normal.jpg
Republican,Bryan Steil,RepBryanSteil,https://pbs.twimg.com/profile_images/1080811922474311681/FbNkaP3e_normal.jpg
Republican,Rep Van Taylor,RepVanTaylor,https://pbs.twimg.com/profile_images/1088576583684812800/nPn9LNpI_normal.jpg
Republican,Rep. Dusty Johnson,RepDustyJohnson,https://pbs.twimg.com/profile_images/1093989780449304578/8oolcm86_normal.jpg
